time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1932-11-26T04:24:01.000Z,42.292,142.535,57.5,6.4,mw,,,,,iscgem,iscgem906467,2020-07-10T11:22:31.288Z,"14 km ESE of Shizunai-furukawach?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1933-01-03T15:27:05.000Z,40.719,144.035,15,6.3,mw,,,,,iscgem,iscgem905329,2015-05-13T18:52:43.000Z,"214 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1933-01-07T04:06:44.000Z,40.559,143.703,15,6.6,mw,,,,,iscgem,iscgem905338,2015-05-13T18:52:43.000Z,"181 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1933-03-02T17:31:00.000Z,39.209,144.59,15,8.4,mw,,,,,official,official19330302173100_30,2020-07-10T14:29:42.363Z,"1933 Sanriku (Sanriku-oki) Earthquake, Japan",earthquake,,,,,automatic,iscgem,official
1933-03-03T09:12:55.000Z,39.255,143.516,15,6.4,mw,,,,,iscgem,iscgem905429,2015-05-13T18:52:43.000Z,"136 km E of Yamada, Japan",earthquake,,,,,automatic,iscgem,iscgem
1933-03-03T09:38:35.000Z,39.975,144.123,15,6.3,mw,,,,,iscgem,iscgem905430,2015-05-13T18:52:43.000Z,"190 km E of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1933-04-09T02:46:39.000Z,39.456,143.793,15,6.7,mw,,,,,iscgem,iscgem905505,2015-05-13T18:52:43.000Z,"158 km E of Yamada, Japan",earthquake,,,,,automatic,iscgem,iscgem
1933-04-23T07:13:44.000Z,39.098,143.557,15,6.4,mw,,,,,iscgem,iscgem905534,2015-05-13T18:52:43.000Z,"144 km ESE of Yamada, Japan",earthquake,,,,,automatic,iscgem,iscgem
1933-06-18T21:37:36.000Z,38.083,142.484,30,7.2,mw,,,,,iscgem,iscgem905646,2020-07-10T11:12:24.784Z,"110 km ESE of Ishinomaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1933-07-20T23:13:55.000Z,38.659,144.946,15,5.8,mw,,,,,iscgem,iscgem905728,2015-05-13T18:52:43.000Z,"274 km ESE of Yamada, Japan",earthquake,,,,,automatic,iscgem,iscgem
1934-04-06T19:09:35.000Z,37.402,141.334,35,5.9,mw,,,,,iscgem,iscgem904872,2020-07-10T11:01:12.236Z,"30 km ESE of Namie, Japan",earthquake,,,,,automatic,iscgem,iscgem
1935-03-30T21:19:42.000Z,37.267,142.017,35,6.3,mw,,,,,iscgem,iscgem904174,2015-05-13T18:52:43.000Z,"93 km ESE of Namie, Japan",earthquake,,,,,automatic,iscgem,iscgem
1935-07-19T00:49:46.000Z,36.575,141.611,10,6.7,mw,,,,,iscgem,iscgem904408,2020-07-10T10:49:43.864Z,"80 km ESE of Kitaibaraki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1935-10-12T16:45:24.000Z,40.199,143.304,15,7,mw,,,,,iscgem,iscgem904577,2020-07-10T10:53:28.909Z,"131 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1935-10-18T00:12:00.000Z,40.235,144.011,15,7.1,mw,,,,,iscgem,iscgem904591,2020-07-10T10:53:48.905Z,"188 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
